param_value,MSE,MAE,MAPE,RMSE,Best_epoch,convergence_epoch,min_valid_mse,final_loss
0.1,0.00010693,0.006895,0.007363,0.010341,200,115,7.13129629730247e-05,0.00035043459193759616
0.3,9.297e-05,0.006676,0.007136,0.009642,200,115,6.680656224489212e-05,0.0003398762999471792
0.6,9.904e-05,0.006815,0.007295,0.009952,200,110,6.840473361080512e-05,0.00034599799100017283
1.0,9.779e-05,0.006803,0.007282,0.009889,199,113,7.371255924226716e-05,0.00036963093972870205
2.0,0.00011474,0.007263,0.007764,0.010712,200,112,7.804487540852278e-05,0.0003955034124859573
