param_value,MSE,MAE,MAPE,RMSE,Best_epoch,convergence_epoch,min_valid_mse,final_loss
0.1,0.00020174,0.009346,0.010035,0.014204,116,54,0.00022976567561272532,2.525075861132935e-05
0.5,0.00011467,0.007392,0.007917,0.010708,199,102,0.00011265086504863575,5.9924283763941866e-05
1.0,0.00012917,0.007781,0.008322,0.011365,200,113,0.00010061702778330073,0.00010255129709760693
2.0,0.00011281,0.007251,0.007759,0.010621,200,113,8.273759158328176e-05,0.000167902256627596
5.0,0.00010153,0.006865,0.007338,0.010076,200,115,6.711749301757663e-05,0.00034014881997459107
