param1_value,param2_value,MSE,MAE
0.3,0.01,0.00031177,0.011497
0.3,0.03,0.00032007,0.011814
0.3,0.05,0.00031259,0.011659
0.6,0.01,0.00029198,0.01157
0.6,0.03,0.00029551,0.011619
0.6,0.05,0.00030758,0.011528
1.0,0.01,0.00031618,0.011788
1.0,0.03,0.00030538,0.011425
1.0,0.05,0.00029589,0.011113
