param_value,MSE,MAE,MAPE,RMSE,Best_epoch,convergence_epoch,min_valid_mse,final_loss
0.001,0.00010899,0.007015,0.007497,0.01044,200,114,7.647033635294065e-05,0.0003784107782932423
0.005,0.0001033,0.006996,0.007476,0.010164,200,111,7.080049545038491e-05,0.00035949724409216506
0.01,0.00011739,0.00744,0.007948,0.010835,198,114,7.543188985437155e-05,0.0003759118983385527
0.03,0.00010098,0.006926,0.007411,0.010049,199,110,7.310218643397093e-05,0.0003712131028290926
0.05,0.00011767,0.007284,0.007783,0.010847,199,117,7.689873018534854e-05,0.0004068959956975061
